1
Columbia,16,5,11,.313,-9.10,-4.30,0,0,4,1,0,9,1078,1120,,645,391,953,.410,130,395,.329,166,230,.722,132,578,201,86,58,204,228
Connecticut,16,10,6,.625,8.59,1.09,1,3,8,2,0,2,1156,1036,,660,402,960,.419,113,332,.340,239,338,.707,204,626,210,109,114,227,286
Coppin State,19,4,15,.211,-13.29,-3.24,0,4,1,3,3,12,1278,1469,,765,455,1170,.389,153,562,.272,215,350,.614,174,701,177,129,46,260,364
Cornell,13,3,10,.231,-9.76,-2.40,0,0,3,2,0,8,879,891,,525,326,763,.427,90,318,.283,137,195,.703,139,455,200,94,39,152,197
Creighton,17,13,4,.765,13.76,6.51,2,2,10,1,2,2,1311,1158,,685,473,1020,.464,151,419,.360,214,297,.721,135,618,249,105,38,187,263
Dartmouth,15,7,8,.467,-5.33,-5.05,0,0,3,2,3,5,1009,964,,610,372,837,.444,113,348,.325,152,238,.639,109,549,197,68,39,188,258
Davidson,16,7,9,.438,5.69,3.56,1,3,4,1,2,4,1118,1084,,645,399,914,.437,141,412,.342,179,234,.765,127,509,202,97,34,178,269
Dayton,17,15,2,.882,21.12,2.95,4,0,10,0,2,0,1413,1104,,690,522,998,.523,148,397,.373,221,305,.725,153,604,327,113,64,220,282
Delaware State,17,2,15,.118,-21.42,-4.62,1,2,2,7,0,7,1221,1438,,680,423,1039,.407,128,402,.318,247,348,.710,163,571,181,126,29,267,349
Delaware,18,12,6,.667,-2.29,-5.11,2,3,5,1,3,4,1329,1235,,725,487,1022,.477,135,376,.359,220,292,.753,130,614,234,103,58,228,292
Denver,19,4,15,.211,-12.11,-2.00,0,5,3,6,0,8,1247,1412,,765,451,1054,.428,94,300,.313,251,379,.662,133,626,204,108,39,261,375
DePaul,17,12,5,.706,9.48,3.10,0,4,8,3,4,2,1276,1145,,690,475,1025,.463,106,321,.330,220,345,.638,197,664,246,157,103,255,329
Detroit Mercy,18,3,15,.167,-9.88,0.56,1,4,2,4,0,10,1203,1391,,720,398,1068,.373,161,504,.319,246,318,.774,199,642,185,105,59,249,310
Drake,17,12,5,.706,1.52,-0.08,2,2,9,0,1,4,1210,1123,,680,448,958,.468,131,378,.347,183,265,.691,144,585,268,105,62,239,278
Drexel,18,10,8,.556,-4.68,-1.85,3,2,7,2,1,6,1253,1268,,725,446,1025,.435,143,399,.358,218,317,.688,206,655,266,112,63,291,283


Duke,17,15,2,.882,26.39,6.57,5,1,8,1,4,1,1413,1076,,685,525,1073,.489,123,333,.369,240,361,.665,224,682,283,159,109,230,283
Duquesne,16,14,2,.875,9.72,-1.66,4,0,7,0,2,0,1167,985,,640,411,900,.457,121,382,.317,224,288,.778,147,557,222,122,99,206,239
East Carolina,16,8,8,.500,-3.28,-3.40,2,1,7,2,0,4,1136,1134,,640,393,917,.429,92,306,.301,258,359,.719,164,580,221,100,55,220,338
East Tennessee State,18,15,3,.833,7.11,-0.09,4,1,10,0,5,3,1370,1108,,720,482,1032,.467,141,413,.341,265,394,.673,216,671,251,162,79,233,308
Eastern Illinois,16,7,9,.438,-4.67,-6.10,0,4,3,0,3,8,1205,1092,,640,440,986,.446,107,310,.345,218,314,.694,186,613,223,123,70,213,273
Eastern Kentucky,17,6,11,.353,-13.68,-3.48,3,1,6,3,0,6,1254,1285,,680,431,1092,.395,140,449,.312,252,352,.716,195,591,204,168,41,262,332
Eastern Michigan,17,10,7,.588,-6.29,1.25,0,4,6,2,2,5,1116,1072,,680,381,915,.416,104,352,.295,250,393,.636,181,597,182,192,55,266,291
